Município;IMEI1;IMEI2;Marca;Modelo;Capacidade;Entrega;Local de Uso;Situação; Patrimonio
Campina da Lagoa;848942000000000;510004000000000;Samsung;Galaxy S23;256GB;Campina da Lagoa;Escola do município Campina da Lagoa;Inservível;1640
Campina da Lagoa;709239000000000;117551000000000;Xiaomi;Poco X5;256GB;Campina da Lagoa;Escola do município Campina da Lagoa;Em uso;1641
Campina da Lagoa;182652000000000;751557000000000;Xiaomi;Redmi Note 12;128GB;Campina da Lagoa;Escola do município Campina da Lagoa;Danificado;1642
Campina da Lagoa;484164000000000;864252000000000;Motorola;Moto G53;128GB;Campina da Lagoa;Escola do município Campina da Lagoa;Danificado;1643
Campina da Lagoa;396416000000000;160440000000000;Xiaomi;Poco X5;256GB;Campina da Lagoa;Escola do município Campina da Lagoa;Em uso;1644
Campina da Lagoa;678041000000000;311919000000000;Multilaser;G Max 2;64GB;Campina da Lagoa;Escola do município Campina da Lagoa;Inservível;1645
Campina da Lagoa;238428000000000;414615000000000;Motorola;Moto G53;128GB;Campina da Lagoa;Escola do município Campina da Lagoa;Em uso;1646
Campina da Lagoa;403825000000000;984762000000000;Samsung;Galaxy S23;256GB;Campina da Lagoa;Escola do município Campina da Lagoa;Danificado;1647
Campina da Lagoa;453932000000000;740585000000000;Xiaomi;Poco X5;256GB;Campina da Lagoa;Escola do município Campina da Lagoa;Danificado;1648
Campina da Lagoa;451618000000000;192627000000000;Multilaser;G Max 2;64GB;Campina da Lagoa;Escola do município Campina da Lagoa;Inservível;1649
Campina da Lagoa;886251000000000;155300000000000;Xiaomi;Poco X5;256GB;Campina da Lagoa;Escola do município Campina da Lagoa;Em uso;1650
Campina do Simão;748585000000000;871214000000000;Samsung;Galaxy A14;128GB;Campina do Simão;Escola do município Campina do Simão;Roubado;1651
Campina do Simão;650441000000000;236515000000000;Multilaser;G Max 2;64GB;Campina do Simão;Escola do município Campina do Simão;Roubado;1652
Campina do Simão;211445000000000;871173000000000;Philco;Hit P10;128GB;Campina do Simão;Escola do município Campina do Simão;Roubado;1653
Campina do Simão;721980000000000;344815000000000;Motorola;Moto G53;128GB;Campina do Simão;Escola do município Campina do Simão;Roubado;1654
Campina do Simão;251500000000000;241253000000000;Philco;Hit P10;128GB;Campina do Simão;Escola do município Campina do Simão;Roubado;1655
Campina do Simão;526614000000000;438358000000000;Apple;iPhone 13;128GB;Campina do Simão;Escola do município Campina do Simão;Danificado;1656
Campina do Simão;993687000000000;496693000000000;Philco;Hit P10;128GB;Campina do Simão;Escola do município Campina do Simão;Em uso;1657
Campina do Simão;538255000000000;913237000000000;Philco;Hit P10;128GB;Campina do Simão;Escola do município Campina do Simão;Inservível;1658
Campina do Simão;256753000000000;385918000000000;Multilaser;G Max 2;64GB;Campina do Simão;Escola do município Campina do Simão;Danificado;1659
Campina do Simão;513697000000000;356687000000000;Samsung;Galaxy A14;128GB;Campina do Simão;Escola do município Campina do Simão;Roubado;1660
Campina do Simão;656363000000000;473721000000000;Xiaomi;Redmi Note 12;128GB;Campina do Simão;Escola do município Campina do Simão;Danificado;1661
Campina do Simão;439191000000000;895369000000000;Philco;Hit P10;128GB;Campina do Simão;Escola do município Campina do Simão;Roubado;1662
Campina do Simão;434934000000000;882532000000000;Xiaomi;Redmi Note 12;128GB;Campina do Simão;Escola do município Campina do Simão;Em uso;1663
Campina do Simão;551572000000000;594518000000000;Motorola;Edge 40;256GB;Campina do Simão;Escola do município Campina do Simão;Roubado;1664
Campina do Simão;754894000000000;103172000000000;Samsung;Galaxy A14;128GB;Campina do Simão;Escola do município Campina do Simão;Em uso;1665
Campina do Simão;707356000000000;876578000000000;Philco;Hit P10;128GB;Campina do Simão;Escola do município Campina do Simão;Roubado;1666
Campina do Simão;961453000000000;148364000000000;Xiaomi;Redmi Note 12;128GB;Campina do Simão;Escola do município Campina do Simão;Danificado;1667
Campina do Simão;464362000000000;678384000000000;Apple;iPhone 15 Pro;256GB;Campina do Simão;Escola do município Campina do Simão;Em uso;1668
Campina do Simão;759777000000000;891227000000000;Apple;iPhone 15 Pro;256GB;Campina do Simão;Escola do município Campina do Simão;Danificado;1669
Campina do Simão;899274000000000;628899000000000;Multilaser;G Max 2;64GB;Campina do Simão;Escola do município Campina do Simão;Inservível;1670
Campina do Simão;425648000000000;197818000000000;Samsung;Galaxy A14;128GB;Campina do Simão;Escola do município Campina do Simão;Inservível;1671
Campina do Simão;725913000000000;689071000000000;Apple;iPhone 13;128GB;Campina do Simão;Escola do município Campina do Simão;Em uso;1672
Campina do Simão;118544000000000;631222000000000;Multilaser;G Max 2;64GB;Campina do Simão;Escola do município Campina do Simão;Danificado;1673
Campina do Simão;372249000000000;911265000000000;Apple;iPhone 15 Pro;256GB;Campina do Simão;Escola do município Campina do Simão;Em uso;1674
Campina do Simão;134855000000000;542246000000000;Samsung;Galaxy S23;256GB;Campina do Simão;Escola do município Campina do Simão;Danificado;1675
Campina do Simão;757012000000000;322648000000000;Xiaomi;Redmi Note 12;128GB;Campina do Simão;Escola do município Campina do Simão;Em uso;1676
Campina do Simão;112147000000000;534753000000000;Philco;Hit P10;128GB;Campina do Simão;Escola do município Campina do Simão;Danificado;1677
Campina do Simão;565397000000000;524117000000000;Philco;Hit P10;128GB;Campina do Simão;Escola do município Campina do Simão;Inservível;1678
Campina do Simão;883358000000000;608106000000000;Samsung;Galaxy S23;256GB;Campina do Simão;Escola do município Campina do Simão;Roubado;1679
Campina do Simão;847841000000000;633735000000000;Apple;iPhone 15 Pro;256GB;Campina do Simão;Escola do município Campina do Simão;Em uso;1680
Campina Grande do Sul;621493000000000;751327000000000;Xiaomi;Redmi Note 12;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Inservível;1681
Campina Grande do Sul;185463000000000;639339000000000;Samsung;Galaxy S23;256GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Danificado;1682
Campina Grande do Sul;167628000000000;785388000000000;Motorola;Moto G53;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Inservível;1683
Campina Grande do Sul;790903000000000;650772000000000;Samsung;Galaxy S23;256GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Em uso;1684
Campina Grande do Sul;256828000000000;227373000000000;Samsung;Galaxy A14;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Roubado;1685
Campina Grande do Sul;775642000000000;237593000000000;Samsung;Galaxy S23;256GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Danificado;1686
Campina Grande do Sul;596588000000000;860178000000000;Samsung;Galaxy A14;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Roubado;1687
Campina Grande do Sul;138982000000000;105133000000000;Xiaomi;Poco X5;256GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Roubado;1688
Campina Grande do Sul;719365000000000;438406000000000;Xiaomi;Redmi Note 12;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Danificado;1689
Campina Grande do Sul;437209000000000;195083000000000;Xiaomi;Poco X5;256GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Roubado;1690
Campina Grande do Sul;177497000000000;573984000000000;Philco;Hit P10;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Danificado;1691
Campina Grande do Sul;731067000000000;972748000000000;Samsung;Galaxy A14;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Roubado;1692
Campina Grande do Sul;810800000000000;686784000000000;Samsung;Galaxy S23;256GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Danificado;1693
Campina Grande do Sul;663863000000000;713237000000000;Multilaser;G Max 2;64GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Danificado;1694
Campina Grande do Sul;679728000000000;471020000000000;Samsung;Galaxy S23;256GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Danificado;1695
Campina Grande do Sul;282453000000000;642572000000000;Xiaomi;Poco X5;256GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Danificado;1696
Campina Grande do Sul;993690000000000;306999000000000;Multilaser;G Max 2;64GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Danificado;1697
Campina Grande do Sul;607546000000000;737901000000000;Multilaser;G Max 2;64GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Danificado;1698
Campina Grande do Sul;656771000000000;465301000000000;Philco;Hit P10;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Inservível;1699
Campina Grande do Sul;804071000000000;912302000000000;Xiaomi;Redmi Note 12;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Inservível;1700
Campina Grande do Sul;801089000000000;468580000000000;Xiaomi;Redmi Note 12;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Danificado;1701
Campina Grande do Sul;721187000000000;250802000000000;Samsung;Galaxy S23;256GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Roubado;1702
Campina Grande do Sul;574530000000000;107824000000000;Multilaser;G Max 2;64GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Roubado;1703
Campina Grande do Sul;249546000000000;996961000000000;Philco;Hit P10;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Danificado;1704
Campina Grande do Sul;474082000000000;225185000000000;Apple;iPhone 13;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Em uso;1705
Campina Grande do Sul;553267000000000;656328000000000;Philco;Hit P10;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Inservível;1706
Campina Grande do Sul;827015000000000;451012000000000;Motorola;Moto G53;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Inservível;1707
Campina Grande do Sul;428663000000000;559143000000000;Motorola;Moto G53;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Roubado;1708
Campina Grande do Sul;966869000000000;742314000000000;Philco;Hit P10;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Roubado;1709
Campina Grande do Sul;460887000000000;555256000000000;Philco;Hit P10;128GB;Campina Grande do Sul;Escola do município Campina Grande do Sul;Em uso;1710
Campo Bonito;490554000000000;802517000000000;Apple;iPhone 15 Pro;256GB;Campo Bonito;Escola do município Campo Bonito;Inservível;1711
Campo Bonito;849094000000000;406512000000000;Motorola;Moto G53;128GB;Campo Bonito;Escola do município Campo Bonito;Danificado;1712
Campo Bonito;753174000000000;608559000000000;Samsung;Galaxy A14;128GB;Campo Bonito;Escola do município Campo Bonito;Em uso;1713
Campo Bonito;220499000000000;555205000000000;Multilaser;G Max 2;64GB;Campo Bonito;Escola do município Campo Bonito;Roubado;1714
Campo Bonito;117624000000000;358247000000000;Xiaomi;Redmi Note 12;128GB;Campo Bonito;Escola do município Campo Bonito;Em uso;1715
Campo Bonito;145717000000000;111993000000000;Motorola;Moto G53;128GB;Campo Bonito;Escola do município Campo Bonito;Inservível;1716
Campo Bonito;795844000000000;833910000000000;Apple;iPhone 13;128GB;Campo Bonito;Escola do município Campo Bonito;Danificado;1717
Campo Bonito;904126000000000;398647000000000;Motorola;Moto G53;128GB;Campo Bonito;Escola do município Campo Bonito;Danificado;1718
Campo Bonito;248429000000000;163940000000000;Multilaser;G Max 2;64GB;Campo Bonito;Escola do município Campo Bonito;Roubado;1719
Campo Bonito;759315000000000;904664000000000;Motorola;Edge 40;256GB;Campo Bonito;Escola do município Campo Bonito;Danificado;1720
Campo Bonito;775069000000000;872093000000000;Samsung;Galaxy S23;256GB;Campo Bonito;Escola do município Campo Bonito;Inservível;1721
Campo Bonito;312234000000000;624097000000000;Motorola;Edge 40;256GB;Campo Bonito;Escola do município Campo Bonito;Em uso;1722
Campo Bonito;553429000000000;142300000000000;Apple;iPhone 15 Pro;256GB;Campo Bonito;Escola do município Campo Bonito;Roubado;1723
Campo Bonito;764471000000000;940523000000000;Motorola;Moto G53;128GB;Campo Bonito;Escola do município Campo Bonito;Roubado;1724
Campo Bonito;702308000000000;403146000000000;Samsung;Galaxy S23;256GB;Campo Bonito;Escola do município Campo Bonito;Danificado;1725
Campo Bonito;164802000000000;778148000000000;Motorola;Edge 40;256GB;Campo Bonito;Escola do município Campo Bonito;Em uso;1726
Campo Bonito;533611000000000;893481000000000;Apple;iPhone 13;128GB;Campo Bonito;Escola do município Campo Bonito;Roubado;1727
Campo Bonito;156415000000000;326223000000000;Motorola;Edge 40;256GB;Campo Bonito;Escola do município Campo Bonito;Em uso;1728
Campo Bonito;648970000000000;202380000000000;Motorola;Edge 40;256GB;Campo Bonito;Escola do município Campo Bonito;Em uso;1729
Campo Bonito;221819000000000;862939000000000;Philco;Hit P10;128GB;Campo Bonito;Escola do município Campo Bonito;Em uso;1730
Campo Bonito;974252000000000;591424000000000;Xiaomi;Redmi Note 12;128GB;Campo Bonito;Escola do município Campo Bonito;Em uso;1731
Campo Bonito;266994000000000;953222000000000;Philco;Hit P10;128GB;Campo Bonito;Escola do município Campo Bonito;Danificado;1732
Campo Bonito;791998000000000;333809000000000;Xiaomi;Poco X5;256GB;Campo Bonito;Escola do município Campo Bonito;Roubado;1733
Campo Bonito;897321000000000;257724000000000;Samsung;Galaxy A14;128GB;Campo Bonito;Escola do município Campo Bonito;Roubado;1734
Campo Bonito;487524000000000;153476000000000;Multilaser;G Max 2;64GB;Campo Bonito;Escola do município Campo Bonito;Danificado;1735
Campo Bonito;756104000000000;160189000000000;Xiaomi;Redmi Note 12;128GB;Campo Bonito;Escola do município Campo Bonito;Inservível;1736
Campo Bonito;775207000000000;428297000000000;Xiaomi;Poco X5;256GB;Campo Bonito;Escola do município Campo Bonito;Em uso;1737
Campo Bonito;459034000000000;166686000000000;Samsung;Galaxy S23;256GB;Campo Bonito;Escola do município Campo Bonito;Roubado;1738
Campo Bonito;954152000000000;769921000000000;Apple;iPhone 15 Pro;256GB;Campo Bonito;Escola do município Campo Bonito;Em uso;1739
Campo Bonito;620479000000000;605525000000000;Xiaomi;Redmi Note 12;128GB;Campo Bonito;Escola do município Campo Bonito;Em uso;1740
Campo do Tenente;535313000000000;769874000000000;Apple;iPhone 15 Pro;256GB;Campo do Tenente;Escola do município Campo do Tenente;Em uso;1741
Campo do Tenente;140462000000000;935589000000000;Motorola;Moto G53;128GB;Campo do Tenente;Escola do município Campo do Tenente;Roubado;1742
Campo do Tenente;757307000000000;294828000000000;Philco;Hit P10;128GB;Campo do Tenente;Escola do município Campo do Tenente;Roubado;1743
Campo do Tenente;626264000000000;114951000000000;Apple;iPhone 13;128GB;Campo do Tenente;Escola do município Campo do Tenente;Danificado;1744
Campo do Tenente;787892000000000;153170000000000;Apple;iPhone 13;128GB;Campo do Tenente;Escola do município Campo do Tenente;Em uso;1745
Campo do Tenente;178868000000000;126797000000000;Samsung;Galaxy S23;256GB;Campo do Tenente;Escola do município Campo do Tenente;Roubado;1746
Campo do Tenente;764453000000000;323156000000000;Xiaomi;Poco X5;256GB;Campo do Tenente;Escola do município Campo do Tenente;Roubado;1747
Campo do Tenente;839012000000000;125565000000000;Motorola;Moto G53;128GB;Campo do Tenente;Escola do município Campo do Tenente;Roubado;1748
Campo do Tenente;650577000000000;561516000000000;Xiaomi;Poco X5;256GB;Campo do Tenente;Escola do município Campo do Tenente;Inservível;1749
Campo do Tenente;594795000000000;260557000000000;Samsung;Galaxy S23;256GB;Campo do Tenente;Escola do município Campo do Tenente;Inservível;1750
Campo do Tenente;285630000000000;524480000000000;Apple;iPhone 15 Pro;256GB;Campo do Tenente;Escola do município Campo do Tenente;Em uso;1751
Campo do Tenente;817308000000000;703723000000000;Multilaser;G Max 2;64GB;Campo do Tenente;Escola do município Campo do Tenente;Roubado;1752
Campo do Tenente;786551000000000;257219000000000;Xiaomi;Poco X5;256GB;Campo do Tenente;Escola do município Campo do Tenente;Inservível;1753
Campo do Tenente;256841000000000;929387000000000;Motorola;Edge 40;256GB;Campo do Tenente;Escola do município Campo do Tenente;Roubado;1754
Campo do Tenente;766545000000000;892166000000000;Xiaomi;Redmi Note 12;128GB;Campo do Tenente;Escola do município Campo do Tenente;Roubado;1755
Campo do Tenente;276914000000000;257449000000000;Samsung;Galaxy A14;128GB;Campo do Tenente;Escola do município Campo do Tenente;Danificado;1756
Campo do Tenente;981763000000000;677891000000000;Xiaomi;Redmi Note 12;128GB;Campo do Tenente;Escola do município Campo do Tenente;Roubado;1757
Campo do Tenente;421953000000000;385814000000000;Philco;Hit P10;128GB;Campo do Tenente;Escola do município Campo do Tenente;Inservível;1758
Campo do Tenente;818446000000000;635305000000000;Motorola;Moto G53;128GB;Campo do Tenente;Escola do município Campo do Tenente;Danificado;1759
Campo do Tenente;165932000000000;994129000000000;Samsung;Galaxy A14;128GB;Campo do Tenente;Escola do município Campo do Tenente;Danificado;1760
Campo do Tenente;427189000000000;648097000000000;Xiaomi;Poco X5;256GB;Campo do Tenente;Escola do município Campo do Tenente;Roubado;1761
Campo do Tenente;653296000000000;614799000000000;Samsung;Galaxy S23;256GB;Campo do Tenente;Escola do município Campo do Tenente;Em uso;1762
Campo do Tenente;333065000000000;208928000000000;Xiaomi;Poco X5;256GB;Campo do Tenente;Escola do município Campo do Tenente;Em uso;1763
Campo do Tenente;172007000000000;873127000000000;Xiaomi;Poco X5;256GB;Campo do Tenente;Escola do município Campo do Tenente;Danificado;1764
Campo do Tenente;591465000000000;552089000000000;Motorola;Edge 40;256GB;Campo do Tenente;Escola do município Campo do Tenente;Roubado;1765
Campo do Tenente;121876000000000;262306000000000;Apple;iPhone 13;128GB;Campo do Tenente;Escola do município Campo do Tenente;Inservível;1766
Campo do Tenente;231714000000000;734793000000000;Xiaomi;Poco X5;256GB;Campo do Tenente;Escola do município Campo do Tenente;Danificado;1767
Campo do Tenente;318746000000000;411595000000000;Multilaser;G Max 2;64GB;Campo do Tenente;Escola do município Campo do Tenente;Em uso;1768
Campo do Tenente;697840000000000;625176000000000;Apple;iPhone 15 Pro;256GB;Campo do Tenente;Escola do município Campo do Tenente;Danificado;1769
Campo do Tenente;518011000000000;335290000000000;Xiaomi;Redmi Note 12;128GB;Campo do Tenente;Escola do município Campo do Tenente;Em uso;1770
Campo Largo;558924000000000;443987000000000;Samsung;Galaxy S23;256GB;Campo Largo;Escola do município Campo Largo;Roubado;1771
Campo Largo;396110000000000;906147000000000;Motorola;Moto G53;128GB;Campo Largo;Escola do município Campo Largo;Danificado;1772
Campo Largo;170609000000000;467556000000000;Philco;Hit P10;128GB;Campo Largo;Escola do município Campo Largo;Em uso;1773
Campo Largo;652074000000000;447558000000000;Samsung;Galaxy A14;128GB;Campo Largo;Escola do município Campo Largo;Em uso;1774
Campo Largo;488416000000000;205336000000000;Xiaomi;Poco X5;256GB;Campo Largo;Escola do município Campo Largo;Inservível;1775
Campo Largo;538660000000000;408724000000000;Samsung;Galaxy A14;128GB;Campo Largo;Escola do município Campo Largo;Danificado;1776
Campo Largo;186263000000000;231012000000000;Xiaomi;Poco X5;256GB;Campo Largo;Escola do município Campo Largo;Em uso;1777
Campo Largo;270708000000000;666153000000000;Xiaomi;Redmi Note 12;128GB;Campo Largo;Escola do município Campo Largo;Em uso;1778
Campo Largo;829288000000000;980167000000000;Motorola;Moto G53;128GB;Campo Largo;Escola do município Campo Largo;Inservível;1779
Campo Largo;748435000000000;322717000000000;Samsung;Galaxy S23;256GB;Campo Largo;Escola do município Campo Largo;Roubado;1780
Campo Largo;941824000000000;990495000000000;Apple;iPhone 13;128GB;Campo Largo;Escola do município Campo Largo;Danificado;1781
Campo Largo;906086000000000;496503000000000;Apple;iPhone 15 Pro;256GB;Campo Largo;Escola do município Campo Largo;Em uso;1782
Campo Largo;411920000000000;443771000000000;Motorola;Moto G53;128GB;Campo Largo;Escola do município Campo Largo;Danificado;1783
Campo Largo;927661000000000;779241000000000;Philco;Hit P10;128GB;Campo Largo;Escola do município Campo Largo;Inservível;1784
Campo Largo;718541000000000;284918000000000;Motorola;Edge 40;256GB;Campo Largo;Escola do município Campo Largo;Em uso;1785
Campo Largo;757557000000000;994534000000000;Xiaomi;Redmi Note 12;128GB;Campo Largo;Escola do município Campo Largo;Roubado;1786
Campo Largo;710382000000000;550415000000000;Xiaomi;Redmi Note 12;128GB;Campo Largo;Escola do município Campo Largo;Danificado;1787
Campo Largo;485749000000000;969259000000000;Xiaomi;Poco X5;256GB;Campo Largo;Escola do município Campo Largo;Danificado;1788
Campo Largo;887448000000000;694817000000000;Samsung;Galaxy S23;256GB;Campo Largo;Escola do município Campo Largo;Inservível;1789
Campo Largo;487674000000000;102653000000000;Motorola;Edge 40;256GB;Campo Largo;Escola do município Campo Largo;Roubado;1790
Campo Largo;410068000000000;363068000000000;Philco;Hit P10;128GB;Campo Largo;Escola do município Campo Largo;Danificado;1791
Campo Largo;279637000000000;619103000000000;Apple;iPhone 15 Pro;256GB;Campo Largo;Escola do município Campo Largo;Roubado;1792
Campo Largo;344365000000000;951963000000000;Motorola;Edge 40;256GB;Campo Largo;Escola do município Campo Largo;Roubado;1793
Campo Largo;856816000000000;528462000000000;Apple;iPhone 13;128GB;Campo Largo;Escola do município Campo Largo;Danificado;1794
Campo Largo;448235000000000;580127000000000;Samsung;Galaxy A14;128GB;Campo Largo;Escola do município Campo Largo;Inservível;1795
Campo Largo;392476000000000;180970000000000;Apple;iPhone 15 Pro;256GB;Campo Largo;Escola do município Campo Largo;Em uso;1796
Campo Largo;517630000000000;480907000000000;Philco;Hit P10;128GB;Campo Largo;Escola do município Campo Largo;Em uso;1797
Campo Largo;122844000000000;972757000000000;Samsung;Galaxy S23;256GB;Campo Largo;Escola do município Campo Largo;Inservível;1798
Campo Largo;718321000000000;692954000000000;Philco;Hit P10;128GB;Campo Largo;Escola do município Campo Largo;Inservível;1799
Campo Largo;589332000000000;380837000000000;Multilaser;G Max 2;64GB;Campo Largo;Escola do município Campo Largo;Em uso;1800
Campo Magro;776095000000000;101249000000000;Motorola;Edge 40;256GB;Campo Magro;Escola do município Campo Magro;Roubado;1801
Campo Magro;687538000000000;362347000000000;Samsung;Galaxy S23;256GB;Campo Magro;Escola do município Campo Magro;Inservível;1802
Campo Magro;647478000000000;436227000000000;Xiaomi;Redmi Note 12;128GB;Campo Magro;Escola do município Campo Magro;Danificado;1803
Campo Magro;599230000000000;850115000000000;Xiaomi;Poco X5;256GB;Campo Magro;Escola do município Campo Magro;Inservível;1804
Campo Magro;895765000000000;976202000000000;Xiaomi;Redmi Note 12;128GB;Campo Magro;Escola do município Campo Magro;Roubado;1805
Campo Magro;629181000000000;190178000000000;Samsung;Galaxy A14;128GB;Campo Magro;Escola do município Campo Magro;Inservível;1806
Campo Magro;628718000000000;541452000000000;Xiaomi;Redmi Note 12;128GB;Campo Magro;Escola do município Campo Magro;Em uso;1807
Campo Magro;313343000000000;173327000000000;Apple;iPhone 15 Pro;256GB;Campo Magro;Escola do município Campo Magro;Roubado;1808
Campo Magro;614406000000000;511602000000000;Philco;Hit P10;128GB;Campo Magro;Escola do município Campo Magro;Em uso;1809
Campo Magro;502807000000000;369958000000000;Samsung;Galaxy A14;128GB;Campo Magro;Escola do município Campo Magro;Roubado;1810
Campo Magro;354408000000000;538766000000000;Motorola;Moto G53;128GB;Campo Magro;Escola do município Campo Magro;Danificado;1811
Campo Magro;286147000000000;951375000000000;Xiaomi;Redmi Note 12;128GB;Campo Magro;Escola do município Campo Magro;Em uso;1812
Campo Magro;795759000000000;428233000000000;Samsung;Galaxy A14;128GB;Campo Magro;Escola do município Campo Magro;Roubado;1813
Campo Magro;991481000000000;868728000000000;Philco;Hit P10;128GB;Campo Magro;Escola do município Campo Magro;Em uso;1814
Campo Magro;369528000000000;365235000000000;Philco;Hit P10;128GB;Campo Magro;Escola do município Campo Magro;Inservível;1815
Campo Magro;245393000000000;724289000000000;Apple;iPhone 15 Pro;256GB;Campo Magro;Escola do município Campo Magro;Em uso;1816
Campo Magro;570544000000000;291761000000000;Motorola;Moto G53;128GB;Campo Magro;Escola do município Campo Magro;Roubado;1817
Campo Magro;256037000000000;691408000000000;Motorola;Edge 40;256GB;Campo Magro;Escola do município Campo Magro;Roubado;1818
Campo Magro;798191000000000;557286000000000;Samsung;Galaxy S23;256GB;Campo Magro;Escola do município Campo Magro;Inservível;1819
Campo Magro;415747000000000;388770000000000;Motorola;Moto G53;128GB;Campo Magro;Escola do município Campo Magro;Em uso;1820
Campo Magro;752542000000000;553190000000000;Apple;iPhone 15 Pro;256GB;Campo Magro;Escola do município Campo Magro;Em uso;1821
Campo Magro;206867000000000;160381000000000;Motorola;Edge 40;256GB;Campo Magro;Escola do município Campo Magro;Roubado;1822
Campo Magro;156303000000000;513455000000000;Xiaomi;Poco X5;256GB;Campo Magro;Escola do município Campo Magro;Inservível;1823
Campo Magro;628988000000000;355203000000000;Apple;iPhone 13;128GB;Campo Magro;Escola do município Campo Magro;Roubado;1824
Campo Magro;809329000000000;680462000000000;Multilaser;G Max 2;64GB;Campo Magro;Escola do município Campo Magro;Em uso;1825
Campo Magro;940977000000000;133714000000000;Multilaser;G Max 2;64GB;Campo Magro;Escola do município Campo Magro;Roubado;1826
Campo Magro;884389000000000;842862000000000;Apple;iPhone 15 Pro;256GB;Campo Magro;Escola do município Campo Magro;Em uso;1827
Campo Magro;340586000000000;959204000000000;Samsung;Galaxy A14;128GB;Campo Magro;Escola do município Campo Magro;Inservível;1828
Campo Magro;577820000000000;627010000000000;Philco;Hit P10;128GB;Campo Magro;Escola do município Campo Magro;Em uso;1829
Campo Magro;525242000000000;331690000000000;Motorola;Edge 40;256GB;Campo Magro;Escola do município Campo Magro;Em uso;1830
Campo Mourão;986549000000000;628279000000000;Samsung;Galaxy S23;256GB;Campo Mourão;Escola do município Campo Mourão;Roubado;1831
Campo Mourão;991531000000000;844951000000000;Multilaser;G Max 2;64GB;Campo Mourão;Escola do município Campo Mourão;Danificado;1832
Campo Mourão;354535000000000;385023000000000;Samsung;Galaxy A14;128GB;Campo Mourão;Escola do município Campo Mourão;Danificado;1833
Campo Mourão;142788000000000;708467000000000;Samsung;Galaxy S23;256GB;Campo Mourão;Escola do município Campo Mourão;Inservível;1834
Campo Mourão;689669000000000;304720000000000;Apple;iPhone 15 Pro;256GB;Campo Mourão;Escola do município Campo Mourão;Em uso;1835
Campo Mourão;427526000000000;532551000000000;Samsung;Galaxy A14;128GB;Campo Mourão;Escola do município Campo Mourão;Danificado;1836
Campo Mourão;495414000000000;958219000000000;Motorola;Edge 40;256GB;Campo Mourão;Escola do município Campo Mourão;Inservível;1837
Campo Mourão;239040000000000;122497000000000;Samsung;Galaxy S23;256GB;Campo Mourão;Escola do município Campo Mourão;Danificado;1838
Campo Mourão;823542000000000;791885000000000;Xiaomi;Poco X5;256GB;Campo Mourão;Escola do município Campo Mourão;Inservível;1839
Campo Mourão;359951000000000;609345000000000;Motorola;Edge 40;256GB;Campo Mourão;Escola do município Campo Mourão;Roubado;1840
Campo Mourão;870988000000000;317790000000000;Motorola;Moto G53;128GB;Campo Mourão;Escola do município Campo Mourão;Em uso;1841
Campo Mourão;658913000000000;261739000000000;Apple;iPhone 15 Pro;256GB;Campo Mourão;Escola do município Campo Mourão;Em uso;1842
Campo Mourão;792171000000000;396253000000000;Multilaser;G Max 2;64GB;Campo Mourão;Escola do município Campo Mourão;Em uso;1843
Campo Mourão;790138000000000;528217000000000;Motorola;Edge 40;256GB;Campo Mourão;Escola do município Campo Mourão;Roubado;1844
Campo Mourão;709779000000000;718566000000000;Apple;iPhone 15 Pro;256GB;Campo Mourão;Escola do município Campo Mourão;Danificado;1845
Campo Mourão;911615000000000;407822000000000;Apple;iPhone 15 Pro;256GB;Campo Mourão;Escola do município Campo Mourão;Roubado;1846
Campo Mourão;457681000000000;548478000000000;Xiaomi;Poco X5;256GB;Campo Mourão;Escola do município Campo Mourão;Roubado;1847
